rank_test_score,mean_test_score,std_test_score,param_tfidf__max_features,param_tfidf__ngram_range,param_classifier__C,param_classifier__class_weight
1,0.7858300391744084,0.015612383954034387,10000,"(1, 2)",10.0,balanced
2,0.7782268336500634,0.020589928644679335,10000,"(1, 1)",10.0,balanced
3,0.7606743104706739,0.011093722826078175,5000,"(1, 2)",10.0,balanced
4,0.7574161736381398,0.017162827659167483,10000,"(1, 1)",10.0,
5,0.753045112298831,0.019565467908156386,5000,"(1, 1)",10.0,balanced
6,0.7522966056349342,0.011665496968778298,10000,"(1, 2)",10.0,
7,0.7416517048019493,0.01211938102008967,5000,"(1, 1)",10.0,
8,0.7379386854993641,0.02234800578752276,5000,"(1, 2)",10.0,
9,0.6875932878585522,0.010169990328444626,10000,"(1, 1)",1.0,balanced
10,0.6818537860746993,0.003291968139587153,10000,"(1, 2)",1.0,balanced
11,0.6594848817071038,0.007796515739099066,5000,"(1, 2)",1.0,balanced
12,0.659241475117524,0.00852483567311858,5000,"(1, 1)",1.0,balanced
13,0.5433399147472118,0.0019721200542856298,10000,"(1, 2)",0.1,balanced
14,0.5344741388421953,0.0016983320751426784,10000,"(1, 1)",0.1,balanced
15,0.5069038582629976,0.00604165686522773,5000,"(1, 1)",0.1,balanced
16,0.5052107859326892,0.0008329029489424195,5000,"(1, 2)",0.1,balanced
17,0.4798025806890179,0.006376817181934165,5000,"(1, 2)",1.0,
18,0.47540228255806966,0.015304334323467384,10000,"(1, 2)",1.0,
19,0.47097310350230065,0.00207441653335884,10000,"(1, 1)",1.0,
20,0.4686050860813642,0.014699091587571008,5000,"(1, 1)",1.0,
21,0.0,0.0,10000,"(1, 2)",0.1,
21,0.0,0.0,10000,"(1, 1)",0.1,
21,0.0,0.0,5000,"(1, 2)",0.1,
21,0.0,0.0,5000,"(1, 1)",0.1,
